"","film","year","ceremony","winner","wiki_link","Running_Time_Minutes","Budget_Millions","Box_Office_Millions"
"178","Past Lives",2023,96,FALSE,"https://en.wikipedia.org/wiki/Past_Lives_(film)",106,12,42.7
"179","Poor Things",2023,96,FALSE,"https://en.wikipedia.org/wiki/Poor_Things_(film)",142,35,117.6
"180","The Holdovers",2023,96,FALSE,"https://en.wikipedia.org/wiki/The_Holdovers",133,13,46
"181","The Zone of Interest",2023,96,FALSE,"https://en.wikipedia.org/wiki/The_Zone_of_Interest_(film)",105,15,52.8
"182","A Complete Unknown",2024,97,FALSE,"https://en.wikipedia.org/wiki/A_Complete_Unknown",141,60,140.5
"183","Anora",2024,97,TRUE,"https://en.wikipedia.org/wiki/Anora",139,6,59.3
"184","Conclave",2024,97,FALSE,"https://en.wikipedia.org/wiki/Conclave_(film)",120,20,128
"185","Dune: Part Two",2024,97,FALSE,"https://en.wikipedia.org/wiki/Dune:_Part_Two",166,190,715
"186","Emilia Pérez",2024,97,FALSE,"https://en.wikipedia.org/wiki/Emilia_P%C3%A9rez",132,26,16.3
"187","I'm Still Here",2024,97,FALSE,"https://en.wikipedia.org/wiki/I%27m_Still_Here_(2024_film)",138,9,36.4
"188","Nickel Boys",2024,97,FALSE,"https://en.wikipedia.org/wiki/Nickel_Boys",140,23.2,3.2
"189","The Brutalist",2024,97,FALSE,"https://en.wikipedia.org/wiki/The_Brutalist",215,9.6,50.4
"190","The Substance",2024,97,FALSE,"https://en.wikipedia.org/wiki/The_Substance",141,18,79.5
"191","Wicked",2024,97,FALSE,"https://en.wikipedia.org/wiki/Wicked_(2024_film)",160,150,758.8
"192","Bugonia",2025,98,FALSE,"https://en.wikipedia.org/wiki/Bugonia_(film)",118,50,43.4
"193","F1",2025,98,FALSE,"https://en.wikipedia.org/wiki/F1_(film)",155,250,633.4
"194","Frankenstein",2025,98,FALSE,"https://en.wikipedia.org/wiki/Frankenstein_(2025_film)",150,120,0.480678
"195","Hamnet",2025,98,FALSE,"https://en.wikipedia.org/wiki/Hamnet_(film)",126,32.5,103
"196","Marty Supreme",2025,98,FALSE,"https://en.wikipedia.org/wiki/Marty_Supreme",150,65,179.3
"197","One Battle After Another",2025,98,TRUE,"https://en.wikipedia.org/wiki/One_Battle_After_Another",162,152.5,212.1
"198","Sentimental Value",2025,98,FALSE,"https://en.wikipedia.org/wiki/Sentimental_Value",133,7.8,22
"199","Sinners",2025,98,FALSE,"https://en.wikipedia.org/wiki/Sinners_(2025_film)",138,95,370.1
"200","The Secret Agent",2025,98,FALSE,"https://en.wikipedia.org/wiki/The_Secret_Agent_(2025_film)",161,22.5,22.5
"201","Train Dreams",2025,98,FALSE,"https://en.wikipedia.org/wiki/Train_Dreams_(film)",102,10,0
